name,rating,price_level,lat,lng,source
Gramercy Tavern,4.6,4.0,40.7384555,-73.98850639999999,google
The Modern,4.6,4.0,40.761081,-73.976753,google
RH Rooftop Restaurant at RH New York,4.4,2.0,40.73985,-74.00639,google
53,4.4,3.0,40.7617694,-73.9780863,google
Manhatta,4.7,4.0,40.7079974,-74.00888259999999,google
Boucherie Union Square,4.7,3.0,40.7372552,-73.9882246,google
ROBERT,4.5,3.0,40.767438,-73.9819871,google
Scarpetta,4.4,3.0,40.7445876,-73.9855838,google
The Smith,4.4,2.0,40.7310235,-73.98861339999999,google
Le Coucou,4.5,4.0,40.7191167,-74.0001861,google
Le Bernardin,4.6,4.0,40.7614218,-73.9817558,google
Upland,4.5,3.0,40.7419313,-73.984644,google
Peter Luger Steak House,4.4,4.0,40.7098774,-73.9625052,google
Katz's Delicatessen,4.5,2.0,40.7222706,-73.9873769,google
Jiang Nan NYC,4.8,4.0,40.7175581,-73.9949693,google
MOE EATS NYC,5.0,2.0,40.7597437,-73.982321,google
Petite Boucherie,4.7,2.0,40.7338976,-74.0004402,google
The Landing,4.6,2.0,40.7511917,-73.99214359999999,google
Eataly,4.2,2.0,40.71027040000001,-74.0117145,google
Via Carota,4.4,3.0,40.7331437,-74.0036671,google
The Malt House,4.3,2.0,40.7096649,-74.0093444,google
Shukette,4.7,,40.74715459999999,-74.0005218,google
1803 NYC,4.5,2.0,40.7154539,-74.00733009999999,google
Hole In The Wall - FiDi,4.7,2.0,40.7083126,-74.0056165,google
Buddakan,4.4,3.0,40.7423312,-74.00496919999999,google
Eleven Madison Park,4.4,4.0,40.7416519,-73.9872353,google
O'Hara's Restaurant and Pub,4.6,2.0,40.7095008,-74.0126642,google
The Liberty NYC,4.2,2.0,40.7498981,-73.98555549999999,google
Trinity Place,4.4,2.0,40.708882,-74.01143259999999,google
Chama Mama,4.6,2.0,40.7384413,-73.9988997,google
Locanda Verde Tribeca,4.4,3.0,40.7198401,-74.00993439999999,google
Au Cheval,4.7,3.0,40.7181813,-74.0017436,google
COTE Korean Steakhouse,4.6,4.0,40.7413041,-73.99125269999999,google
Temple Court,4.5,4.0,40.7113002,-74.0067691,google
Banter NYC,4.5,2.0,40.7279472,-74.00101939999999,google
Maison Close Restaurant,4.8,,40.7232542,-74.0037064,google
Harry's,4.4,3.0,40.7046763,-74.0097371,google
Craft New York,4.5,3.0,40.7381658,-73.9886678,google
Piccola Cucina Estiatorio,4.6,2.0,40.7246842,-74.0031818,google
Da Claudio,4.4,2.0,40.7108256,-74.0076351,google
Atera,4.6,4.0,40.7168689,-74.0055916,google
Wo Hop,4.4,1.0,40.7142762,-73.998921,google
Buena Vista Restaurant & Bar,4.7,2.0,40.7568688,-73.9935611,google
Kochi,4.6,,40.762018,-73.9935294,google
Minetta Tavern,4.5,3.0,40.73003,-74.000666,google
Golden Diner,4.4,2.0,40.7124191,-73.99427759999999,google
Salinas Restaurant,4.7,3.0,40.7437056,-74.0031569,google
Tamarind Tribeca,4.2,3.0,40.7191069,-74.00902649999999,google
Burger & Lobster Bryant Park,4.5,2.0,40.7559517,-73.9851995,google
Junoon,4.3,4.0,40.7429351,-73.9904974,google
Serafina Tribeca,4.3,2.0,40.7155048,-74.00894509999999,google
Per Se,4.5,4.0,40.7682178,-73.9828988,google
Schilling Restaurant & Bar,4.4,3.0,40.7085845,-74.01401659999999,google
DK Restaurant NYC,4.3,3.0,40.7526884,-73.9905028,google
Two Hands,4.3,2.0,40.7177931,-74.0054175,google
ONE Dine at One World Observatory,4.3,3.0,40.7130062,-74.013173,google
Thai Diner,4.4,2.0,40.7207143,-73.99565,google
Catch NYC,4.0,3.0,40.7402523,-74.0060934,google
Uncle Lou 快樂人,4.5,2.0,40.7162295,-73.9992492,google
Joseph's Restaurant,4.5,3.0,40.7048499,-74.0095927,google
